sun,mon,tue,wed,thu,fri,sat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,6,6:30,7,7:30,8,8:30,9,9:30,10,10:30,11,11:30,12,12:30,13,13:30,14,14:30,15,15:30,16,16:30,17,17:30,18,18:30,19,19:30
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,12,20,61,67,59,57,36,25,18,16,14,33,48,29,22,12,13,16,36,45,89,75,80,41,45,25,17
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,20,32,66,87,83,73,49,44,25,21,20,58,57,43,33,20,22,18,70,67,111,96,92,94,64,43,20
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,19,27,74,81,92,68,61,43,26,17,21,44,60,44,36,17,23,21,54,71,115,115,107,79,50,35,19
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,19,29,69,112,86,65,50,38,28,18,25,52,63,36,28,18,20,20,58,65,99,108,101,77,67,42,21
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,19,30,72,108,90,86,55,38,25,22,21,51,66,42,33,20,21,21,60,53,116,119,117,90,66,43,18
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,22,31,65,99,82,71,55,40,26,17,19,43,64,35,32,22,20,20,60,67,116,124,86,103,55,36,20
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,17,24,42,68,50,57,41,32,19,19,15,40,51,30,24,18,14,16,46,58,87,96,74,73,57,31,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,15,21,52,59,63,47,35,26,17,16,11,31,36,29,22,14,15,12,47,37,89,81,59,57,39,27,15
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,19,31,83,108,93,70,56,48,25,18,19,48,63,44,30,20,22,19,56,60,115,108,110,87,60,37,19
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,19,34,77,102,76,63,62,43,30,19,20,55,61,41,21,20,21,19,59,76,115,121,106,77,64,43,19
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,20,27,67,98,70,73,50,44,23,20,21,46,64,41,35,20,18,18,55,83,103,114,97,77,60,37,22
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,19,33,64,98,78,72,50,35,23,23,18,47,54,39,29,21,22,19,64,73,129,93,90,75,67,38,20
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,19,28,65,88,94,75,52,42,24,23,18,52,71,41,28,17,18,21,65,62,117,113,91,74,60,44,20
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,15,23,58,80,60,54,38,31,22,15,20,47,53,30,25,19,16,14,45,49,87,91,85,71,51,31,13
