sun,mon,tue,wed,thu,fri,sat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,6,6:30,7,7:30,8,8:30,9,9:30,10,10:30,11,11:30,12,12:30,13,13:30,14,14:30,15,15:30,16,16:30,17,17:30,18,18:30,19,19:30
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,14,21,54,62,69,56,39,25,18,13,16,30,45,28,24,14,15,13,35,46,97,80,61,61,32,27,12
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,15,30,70,106,84,66,52,42,21,16,18,43,59,39,32,18,18,18,64,81,91,105,93,79,54,45,24
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,25,28,51,107,87,82,55,36,27,20,18,48,53,41,34,19,21,19,69,58,122,109,82,77,48,32,20
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,19,27,60,119,100,73,54,42,23,18,18,45,52,37,29,14,19,19,59,65,124,118,110,81,58,45,22
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,20,35,73,93,83,82,48,40,22,19,20,59,53,43,23,18,19,20,57,81,107,103,108,76,45,40,21
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,20,28,83,95,75,72,62,33,30,21,19,54,70,43,33,19,25,22,56,85,116,99,117,81,50,39,19
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,16,24,61,80,75,61,44,34,18,16,18,38,47,32,27,15,14,16,43,78,83,90,88,70,47,36,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,15,22,46,71,63,45,43,26,11,14,14,35,38,25,20,15,12,11,47,39,71,65,66,60,45,33,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,20,32,67,84,81,72,55,37,25,21,20,55,62,39,30,20,18,19,64,67,94,95,102,94,54,42,23
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,17,29,70,84,84,71,48,38,27,19,22,47,62,41,33,21,19,20,56,64,114,126,96,96,61,32,18
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,19,29,78,104,95,76,62,37,29,16,20,46,64,47,31,21,18,22,59,67,112,111,108,90,45,45,17
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,19,32,71,93,96,67,62,40,24,21,21,49,66,43,29,23,22,18,56,67,112,97,102,85,64,32,16
